CONTAMINANT_CODE,COUNT
3100,3141071
1040,735886
8000,607583
7500,398686
5000,366886
2950,313879
0200,228467
0999,224244
7000,219630
1005,209861
2456,203840
4006,198892
4000,166261
4010,157957
2984,129009
2990,128483
2977,127534
2982,127221
2981,126786
2980,126455
2969,126451
2987,124712
4030,123450
2991,122672
2992,122509
2380,122148
2989,122036
2996,122001
2979,121780
2968,121726
2983,121676
2964,121630
2985,120374
2378,118698
4020,117883
1041,113364
1025,110211
2955,105995
0700,101767
2976,101712
3014,99783
1045,77186
1010,75445
1015,74686
1035,73752
1020,73117
2050,68575
0300,67597
2010,66298
2015,65735
2105,65068
2051,64171
2037,63249
2020,61610
2110,61148
2326,61072
1038,61043
2039,59684
2959,59645
2005,58900
2067,57969
2040,57677
2065,57668
2042,57322
2046,57124
2035,56640
2306,55866
2036,55687
2946,52416
2041,52328
2274,50886
2031,49177
1074,47903
1085,47318
2383,47275
2931,47173
1075,46368
1036,39264
1024,36969
2920,35998
2032,34324
2033,31328
2034,29611
2047,20375
2043,20331
2044,20325
2063,16419
1094,9880
0400,7967
0800,6906
4100,3977
0600,3355
1009,2804
3015,2618
3028,2556
0100,2238
1006,2189
3000,1700
1011,1562
1008,1334
4102,545
4174,538
1030,395
1022,296
4264,222
4101,205
2967,154
2941,150
2997,148
2965,147
2978,147
2413,147
2986,147
2988,147
2943,147
2966,147
2993,145
2995,145
2944,144
2942,144
2410,144
2416,144
2408,144
2414,144
2412,144
2962,144
2216,143
2214,143
2210,140
2257,123
2265,115
1050,53
1012,42
1055,39
3013,24
0500,19
3002,16
2021,11
2066,11
2440,11
2022,11
2356,10
2045,10
2077,10
2595,10
2076,10
2070,10
2***,8
2251,6
2298,4
2201,4
2388,3
2390,3
2392,3
2394,3
2396,3
2400,3
2398,3
